family	presentation	kind	owner	coefficient	incidence	lineage
baseline	0	term	0	1	0,0,2	11795852869117260156
baseline	0	term	1	-1	0,5,0	11795852869117260156
baseline	0	term	2	1	1,1,0	11795852869117260156
baseline	0	term	3	-1	0,0,0	11795852869117260156
baseline	0	partial	0:0	1	0,1,0	11795852869117260156
baseline	0	partial	1:0	-5	0,4,0	11795852869117260157
baseline	0	partial	1:1	1	1,0,0	11795852869117260157
baseline	0	partial	2:0	2	0,0,1	11795852869117260158
baseline	0	ideal_basis	0	1	0,0,1	11795852869117260221
baseline	0	ideal_basis	1	1	1,0,0	11795852869117260221
baseline	0	ideal_basis	1	-5	0,4,0	11795852869117260221
baseline	0	ideal_basis	2	4	0,5,0	11795852869117260221
baseline	0	ideal_basis	2	-1	0,0,0	11795852869117260221
baseline	0	reduction	0	2	0,1,0	11795852869117260229
baseline	0	reduction	1	1	1,2,1	11795852869117260230
baseline	0	reduction	2	1	2,0,2	11795852869117260231
baseline	0	reduction	3	1	0,1,3	11795852869117260232
baseline	0	reduction	4	1	1,2,4	11795852869117260233
baseline	0	reduction	5	1	2,0,5	11795852869117260234
baseline	0	resultant	0	0	3125	1
baseline	0	resultant	0	1	0	1
baseline	0	resultant	0	2	0	1
baseline	0	resultant	0	3	0	1
baseline	0	resultant	0	4	0	1
baseline	0	resultant	0	5	-256	1
baseline	0	resultant_sample	0	265269	1	11795852869117260221
baseline	0	resultant_sample	1	65333	1	11795852869117260221
baseline	0	resultant_sample	2	11317	1	11795852869117260221
baseline	0	resultant_sample	3	3381	1	11795852869117260221
baseline	0	resultant_sample	4	3125	1	11795852869117260221
baseline	0	resultant_sample	5	2869	1	11795852869117260221
baseline	0	resultant_sample	6	-5067	1	11795852869117260221
baseline	0	resultant_sample	7	-59083	1	11795852869117260221
baseline	0	resultant_sample	8	-259019	1	11795852869117260221
baseline	0	bezout_f	0	0	3125	1
baseline	0	bezout_f	1	0	0	1
baseline	0	bezout_f	1	1	2500	1
baseline	0	bezout_f	2	0	0	1
baseline	0	bezout_f	2	1	0	1
baseline	0	bezout_f	2	2	2000	1
baseline	0	bezout_f	3	0	0	1
baseline	0	bezout_f	3	1	0	1
baseline	0	bezout_f	3	2	0	1
baseline	0	bezout_f	3	3	1600	1
baseline	0	bezout_fx	0	0	0	1
baseline	0	bezout_fx	0	1	0	1
baseline	0	bezout_fx	0	2	0	1
baseline	0	bezout_fx	0	3	0	1
baseline	0	bezout_fx	0	4	256	1
baseline	0	bezout_fx	1	0	-625	1
baseline	0	bezout_fx	2	0	0	1
baseline	0	bezout_fx	2	1	-500	1
baseline	0	bezout_fx	3	0	0	1
baseline	0	bezout_fx	3	1	0	1
baseline	0	bezout_fx	3	2	-400	1
baseline	0	bezout_fx	4	0	0	1
baseline	0	bezout_fx	4	1	0	1
baseline	0	bezout_fx	4	2	0	1
baseline	0	bezout_fx	4	3	-320	1
baseline	0	sample_p	0:0:0	40960/265269	-4	11795852869117260348
baseline	0	sample_p	0:0:1	3125/530538	-4	11795852869117260348
baseline	0	sample_p	0:0:2	-5000/265269	-4	11795852869117260348
baseline	0	sample_p	0:0:3	16000/265269	-4	11795852869117260348
baseline	0	sample_q	0:0:0	-10240/265269	-4	11795852869117260348
baseline	0	sample_q	0:0:1	-8192/265269	-4	11795852869117260348
baseline	0	sample_q	0:0:2	-625/530538	-4	11795852869117260348
baseline	0	sample_q	0:0:3	1000/265269	-4	11795852869117260348
baseline	0	sample_q	0:0:4	-3200/265269	-4	11795852869117260348
baseline	0	sample_p	0:1:0	-12800/265269	-4	11795852869117260349
baseline	0	sample_p	0:1:1	40960/265269	-4	11795852869117260349
baseline	0	sample_p	0:1:2	3125/530538	-4	11795852869117260349
baseline	0	sample_p	0:1:3	-5000/265269	-4	11795852869117260349
baseline	0	sample_q	0:1:0	3200/265269	-4	11795852869117260349
baseline	0	sample_q	0:1:1	2560/265269	-4	11795852869117260349
baseline	0	sample_q	0:1:2	-8192/265269	-4	11795852869117260349
baseline	0	sample_q	0:1:3	-625/530538	-4	11795852869117260349
baseline	0	sample_q	0:1:4	1000/265269	-4	11795852869117260349
baseline	0	sample_p	0:2:0	4000/265269	-4	11795852869117260350
baseline	0	sample_p	0:2:1	-12800/265269	-4	11795852869117260350
baseline	0	sample_p	0:2:2	40960/265269	-4	11795852869117260350
baseline	0	sample_p	0:2:3	3125/530538	-4	11795852869117260350
baseline	0	sample_q	0:2:0	-1000/265269	-4	11795852869117260350
baseline	0	sample_q	0:2:1	-800/265269	-4	11795852869117260350
baseline	0	sample_q	0:2:2	2560/265269	-4	11795852869117260350
baseline	0	sample_q	0:2:3	-8192/265269	-4	11795852869117260350
baseline	0	sample_q	0:2:4	-625/530538	-4	11795852869117260350
baseline	0	sample_p	0:3:0	-1250/265269	-4	11795852869117260351
baseline	0	sample_p	0:3:1	4000/265269	-4	11795852869117260351
baseline	0	sample_p	0:3:2	-12800/265269	-4	11795852869117260351
baseline	0	sample_p	0:3:3	40960/265269	-4	11795852869117260351
baseline	0	sample_q	0:3:0	625/530538	-4	11795852869117260351
baseline	0	sample_q	0:3:1	250/265269	-4	11795852869117260351
baseline	0	sample_q	0:3:2	-800/265269	-4	11795852869117260351
baseline	0	sample_q	0:3:3	2560/265269	-4	11795852869117260351
baseline	0	sample_q	0:3:4	-8192/265269	-4	11795852869117260351
baseline	0	sample_p	1:0:0	12960/65333	-3	11795852869117260349
baseline	0	sample_p	1:0:1	3125/130666	-3	11795852869117260349
baseline	0	sample_p	1:0:2	-3750/65333	-3	11795852869117260349
baseline	0	sample_p	1:0:3	9000/65333	-3	11795852869117260349
baseline	0	sample_q	1:0:0	-4320/65333	-3	11795852869117260349
baseline	0	sample_q	1:0:1	-2592/65333	-3	11795852869117260349
baseline	0	sample_q	1:0:2	-625/130666	-3	11795852869117260349
baseline	0	sample_q	1:0:3	750/65333	-3	11795852869117260349
baseline	0	sample_q	1:0:4	-1800/65333	-3	11795852869117260349
baseline	0	sample_p	1:1:0	-5400/65333	-3	11795852869117260350
baseline	0	sample_p	1:1:1	12960/65333	-3	11795852869117260350
baseline	0	sample_p	1:1:2	3125/130666	-3	11795852869117260350
baseline	0	sample_p	1:1:3	-3750/65333	-3	11795852869117260350
baseline	0	sample_q	1:1:0	1800/65333	-3	11795852869117260350
baseline	0	sample_q	1:1:1	1080/65333	-3	11795852869117260350
baseline	0	sample_q	1:1:2	-2592/65333	-3	11795852869117260350
baseline	0	sample_q	1:1:3	-625/130666	-3	11795852869117260350
baseline	0	sample_q	1:1:4	750/65333	-3	11795852869117260350
baseline	0	sample_p	1:2:0	2250/65333	-3	11795852869117260351
baseline	0	sample_p	1:2:1	-5400/65333	-3	11795852869117260351
baseline	0	sample_p	1:2:2	12960/65333	-3	11795852869117260351
baseline	0	sample_p	1:2:3	3125/130666	-3	11795852869117260351
baseline	0	sample_q	1:2:0	-750/65333	-3	11795852869117260351
baseline	0	sample_q	1:2:1	-450/65333	-3	11795852869117260351
baseline	0	sample_q	1:2:2	1080/65333	-3	11795852869117260351
baseline	0	sample_q	1:2:3	-2592/65333	-3	11795852869117260351
baseline	0	sample_q	1:2:4	-625/130666	-3	11795852869117260351
baseline	0	sample_p	1:3:0	-1875/130666	-3	11795852869117260352
baseline	0	sample_p	1:3:1	2250/65333	-3	11795852869117260352
baseline	0	sample_p	1:3:2	-5400/65333	-3	11795852869117260352
baseline	0	sample_p	1:3:3	12960/65333	-3	11795852869117260352
baseline	0	sample_q	1:3:0	625/130666	-3	11795852869117260352
baseline	0	sample_q	1:3:1	375/130666	-3	11795852869117260352
baseline	0	sample_q	1:3:2	-450/65333	-3	11795852869117260352
baseline	0	sample_q	1:3:3	1080/65333	-3	11795852869117260352
baseline	0	sample_q	1:3:4	-2592/65333	-3	11795852869117260352
baseline	0	sample_p	2:0:0	2560/11317	-2	11795852869117260350
baseline	0	sample_p	2:0:1	3125/22634	-2	11795852869117260350
baseline	0	sample_p	2:0:2	-2500/11317	-2	11795852869117260350
baseline	0	sample_p	2:0:3	4000/11317	-2	11795852869117260350
baseline	0	sample_q	2:0:0	-1280/11317	-2	11795852869117260350
baseline	0	sample_q	2:0:1	-512/11317	-2	11795852869117260350
baseline	0	sample_q	2:0:2	-625/22634	-2	11795852869117260350
baseline	0	sample_q	2:0:3	500/11317	-2	11795852869117260350
baseline	0	sample_q	2:0:4	-800/11317	-2	11795852869117260350
baseline	0	sample_p	2:1:0	-1600/11317	-2	11795852869117260351
baseline	0	sample_p	2:1:1	2560/11317	-2	11795852869117260351
baseline	0	sample_p	2:1:2	3125/22634	-2	11795852869117260351
baseline	0	sample_p	2:1:3	-2500/11317	-2	11795852869117260351
baseline	0	sample_q	2:1:0	800/11317	-2	11795852869117260351
baseline	0	sample_q	2:1:1	320/11317	-2	11795852869117260351
baseline	0	sample_q	2:1:2	-512/11317	-2	11795852869117260351
baseline	0	sample_q	2:1:3	-625/22634	-2	11795852869117260351
baseline	0	sample_q	2:1:4	500/11317	-2	11795852869117260351
baseline	0	sample_p	2:2:0	1000/11317	-2	11795852869117260352
baseline	0	sample_p	2:2:1	-1600/11317	-2	11795852869117260352
baseline	0	sample_p	2:2:2	2560/11317	-2	11795852869117260352
baseline	0	sample_p	2:2:3	3125/22634	-2	11795852869117260352
baseline	0	sample_q	2:2:0	-500/11317	-2	11795852869117260352
baseline	0	sample_q	2:2:1	-200/11317	-2	11795852869117260352
baseline	0	sample_q	2:2:2	320/11317	-2	11795852869117260352
baseline	0	sample_q	2:2:3	-512/11317	-2	11795852869117260352
baseline	0	sample_q	2:2:4	-625/22634	-2	11795852869117260352
baseline	0	sample_p	2:3:0	-625/11317	-2	11795852869117260353
baseline	0	sample_p	2:3:1	1000/11317	-2	11795852869117260353
baseline	0	sample_p	2:3:2	-1600/11317	-2	11795852869117260353
baseline	0	sample_p	2:3:3	2560/11317	-2	11795852869117260353
baseline	0	sample_q	2:3:0	625/22634	-2	11795852869117260353
baseline	0	sample_q	2:3:1	125/11317	-2	11795852869117260353
baseline	0	sample_q	2:3:2	-200/11317	-2	11795852869117260353
baseline	0	sample_q	2:3:3	320/11317	-2	11795852869117260353
baseline	0	sample_q	2:3:4	-512/11317	-2	11795852869117260353
baseline	0	sample_p	3:0:0	160/3381	-1	11795852869117260351
baseline	0	sample_p	3:0:1	3125/6762	-1	11795852869117260351
baseline	0	sample_p	3:0:2	-1250/3381	-1	11795852869117260351
baseline	0	sample_p	3:0:3	1000/3381	-1	11795852869117260351
baseline	0	sample_q	3:0:0	-160/3381	-1	11795852869117260351
baseline	0	sample_q	3:0:1	-32/3381	-1	11795852869117260351
baseline	0	sample_q	3:0:2	-625/6762	-1	11795852869117260351
baseline	0	sample_q	3:0:3	250/3381	-1	11795852869117260351
baseline	0	sample_q	3:0:4	-200/3381	-1	11795852869117260351
baseline	0	sample_p	3:1:0	-200/3381	-1	11795852869117260352
baseline	0	sample_p	3:1:1	160/3381	-1	11795852869117260352
baseline	0	sample_p	3:1:2	3125/6762	-1	11795852869117260352
baseline	0	sample_p	3:1:3	-1250/3381	-1	11795852869117260352
baseline	0	sample_q	3:1:0	200/3381	-1	11795852869117260352
baseline	0	sample_q	3:1:1	40/3381	-1	11795852869117260352
baseline	0	sample_q	3:1:2	-32/3381	-1	11795852869117260352
baseline	0	sample_q	3:1:3	-625/6762	-1	11795852869117260352
baseline	0	sample_q	3:1:4	250/3381	-1	11795852869117260352
baseline	0	sample_p	3:2:0	250/3381	-1	11795852869117260353
baseline	0	sample_p	3:2:1	-200/3381	-1	11795852869117260353
baseline	0	sample_p	3:2:2	160/3381	-1	11795852869117260353
baseline	0	sample_p	3:2:3	3125/6762	-1	11795852869117260353
baseline	0	sample_q	3:2:0	-250/3381	-1	11795852869117260353
baseline	0	sample_q	3:2:1	-50/3381	-1	11795852869117260353
baseline	0	sample_q	3:2:2	40/3381	-1	11795852869117260353
baseline	0	sample_q	3:2:3	-32/3381	-1	11795852869117260353
baseline	0	sample_q	3:2:4	-625/6762	-1	11795852869117260353
baseline	0	sample_p	3:3:0	-625/6762	-1	11795852869117260354
baseline	0	sample_p	3:3:1	250/3381	-1	11795852869117260354
baseline	0	sample_p	3:3:2	-200/3381	-1	11795852869117260354
baseline	0	sample_p	3:3:3	160/3381	-1	11795852869117260354
baseline	0	sample_q	3:3:0	625/6762	-1	11795852869117260354
baseline	0	sample_q	3:3:1	125/6762	-1	11795852869117260354
baseline	0	sample_q	3:3:2	-50/3381	-1	11795852869117260354
baseline	0	sample_q	3:3:3	40/3381	-1	11795852869117260354
baseline	0	sample_q	3:3:4	-32/3381	-1	11795852869117260354
baseline	0	sample_p	4:0:0	0/1	0	11795852869117260352
baseline	0	sample_p	4:0:1	1/2	0	11795852869117260352
baseline	0	sample_p	4:0:2	0/1	0	11795852869117260352
baseline	0	sample_p	4:0:3	0/1	0	11795852869117260352
baseline	0	sample_q	4:0:0	0/1	0	11795852869117260352
baseline	0	sample_q	4:0:1	0/1	0	11795852869117260352
baseline	0	sample_q	4:0:2	-1/10	0	11795852869117260352
baseline	0	sample_q	4:0:3	0/1	0	11795852869117260352
baseline	0	sample_q	4:0:4	0/1	0	11795852869117260352
baseline	0	sample_p	4:1:0	0/1	0	11795852869117260353
baseline	0	sample_p	4:1:1	0/1	0	11795852869117260353
baseline	0	sample_p	4:1:2	1/2	0	11795852869117260353
baseline	0	sample_p	4:1:3	0/1	0	11795852869117260353
baseline	0	sample_q	4:1:0	0/1	0	11795852869117260353
baseline	0	sample_q	4:1:1	0/1	0	11795852869117260353
baseline	0	sample_q	4:1:2	0/1	0	11795852869117260353
baseline	0	sample_q	4:1:3	-1/10	0	11795852869117260353
baseline	0	sample_q	4:1:4	0/1	0	11795852869117260353
baseline	0	sample_p	4:2:0	0/1	0	11795852869117260354
baseline	0	sample_p	4:2:1	0/1	0	11795852869117260354
baseline	0	sample_p	4:2:2	0/1	0	11795852869117260354
baseline	0	sample_p	4:2:3	1/2	0	11795852869117260354
baseline	0	sample_q	4:2:0	0/1	0	11795852869117260354
baseline	0	sample_q	4:2:1	0/1	0	11795852869117260354
baseline	0	sample_q	4:2:2	0/1	0	11795852869117260354
baseline	0	sample_q	4:2:3	0/1	0	11795852869117260354
baseline	0	sample_q	4:2:4	-1/10	0	11795852869117260354
baseline	0	sample_p	4:3:0	0/1	0	11795852869117260355
baseline	0	sample_p	4:3:1	0/1	0	11795852869117260355
baseline	0	sample_p	4:3:2	0/1	0	11795852869117260355
baseline	0	sample_p	4:3:3	0/1	0	11795852869117260355
baseline	0	sample_q	4:3:0	1/10	0	11795852869117260355
baseline	0	sample_q	4:3:1	0/1	0	11795852869117260355
baseline	0	sample_q	4:3:2	0/1	0	11795852869117260355
baseline	0	sample_q	4:3:3	0/1	0	11795852869117260355
baseline	0	sample_q	4:3:4	0/1	0	11795852869117260355
baseline	0	sample_p	5:0:0	160/2869	1	11795852869117260353
baseline	0	sample_p	5:0:1	3125/5738	1	11795852869117260353
baseline	0	sample_p	5:0:2	1250/2869	1	11795852869117260353
baseline	0	sample_p	5:0:3	1000/2869	1	11795852869117260353
baseline	0	sample_q	5:0:0	160/2869	1	11795852869117260353
baseline	0	sample_q	5:0:1	-32/2869	1	11795852869117260353
baseline	0	sample_q	5:0:2	-625/5738	1	11795852869117260353
baseline	0	sample_q	5:0:3	-250/2869	1	11795852869117260353
baseline	0	sample_q	5:0:4	-200/2869	1	11795852869117260353
baseline	0	sample_p	5:1:0	200/2869	1	11795852869117260354
baseline	0	sample_p	5:1:1	160/2869	1	11795852869117260354
baseline	0	sample_p	5:1:2	3125/5738	1	11795852869117260354
baseline	0	sample_p	5:1:3	1250/2869	1	11795852869117260354
baseline	0	sample_q	5:1:0	200/2869	1	11795852869117260354
baseline	0	sample_q	5:1:1	-40/2869	1	11795852869117260354
baseline	0	sample_q	5:1:2	-32/2869	1	11795852869117260354
baseline	0	sample_q	5:1:3	-625/5738	1	11795852869117260354
baseline	0	sample_q	5:1:4	-250/2869	1	11795852869117260354
baseline	0	sample_p	5:2:0	250/2869	1	11795852869117260355
baseline	0	sample_p	5:2:1	200/2869	1	11795852869117260355
baseline	0	sample_p	5:2:2	160/2869	1	11795852869117260355
baseline	0	sample_p	5:2:3	3125/5738	1	11795852869117260355
baseline	0	sample_q	5:2:0	250/2869	1	11795852869117260355
baseline	0	sample_q	5:2:1	-50/2869	1	11795852869117260355
baseline	0	sample_q	5:2:2	-40/2869	1	11795852869117260355
baseline	0	sample_q	5:2:3	-32/2869	1	11795852869117260355
baseline	0	sample_q	5:2:4	-625/5738	1	11795852869117260355
baseline	0	sample_p	5:3:0	625/5738	1	11795852869117260356
baseline	0	sample_p	5:3:1	250/2869	1	11795852869117260356
baseline	0	sample_p	5:3:2	200/2869	1	11795852869117260356
baseline	0	sample_p	5:3:3	160/2869	1	11795852869117260356
baseline	0	sample_q	5:3:0	625/5738	1	11795852869117260356
baseline	0	sample_q	5:3:1	-125/5738	1	11795852869117260356
baseline	0	sample_q	5:3:2	-50/2869	1	11795852869117260356
baseline	0	sample_q	5:3:3	-40/2869	1	11795852869117260356
baseline	0	sample_q	5:3:4	-32/2869	1	11795852869117260356
baseline	0	sample_p	6:0:0	-2560/5067	2	11795852869117260354
baseline	0	sample_p	6:0:1	-3125/10134	2	11795852869117260354
baseline	0	sample_p	6:0:2	-2500/5067	2	11795852869117260354
baseline	0	sample_p	6:0:3	-4000/5067	2	11795852869117260354
baseline	0	sample_q	6:0:0	-1280/5067	2	11795852869117260354
baseline	0	sample_q	6:0:1	512/5067	2	11795852869117260354
baseline	0	sample_q	6:0:2	625/10134	2	11795852869117260354
baseline	0	sample_q	6:0:3	500/5067	2	11795852869117260354
baseline	0	sample_q	6:0:4	800/5067	2	11795852869117260354
baseline	0	sample_p	6:1:0	-1600/5067	2	11795852869117260355
baseline	0	sample_p	6:1:1	-2560/5067	2	11795852869117260355
baseline	0	sample_p	6:1:2	-3125/10134	2	11795852869117260355
baseline	0	sample_p	6:1:3	-2500/5067	2	11795852869117260355
baseline	0	sample_q	6:1:0	-800/5067	2	11795852869117260355
baseline	0	sample_q	6:1:1	320/5067	2	11795852869117260355
baseline	0	sample_q	6:1:2	512/5067	2	11795852869117260355
baseline	0	sample_q	6:1:3	625/10134	2	11795852869117260355
baseline	0	sample_q	6:1:4	500/5067	2	11795852869117260355
baseline	0	sample_p	6:2:0	-1000/5067	2	11795852869117260356
baseline	0	sample_p	6:2:1	-1600/5067	2	11795852869117260356
baseline	0	sample_p	6:2:2	-2560/5067	2	11795852869117260356
baseline	0	sample_p	6:2:3	-3125/10134	2	11795852869117260356
baseline	0	sample_q	6:2:0	-500/5067	2	11795852869117260356
baseline	0	sample_q	6:2:1	200/5067	2	11795852869117260356
baseline	0	sample_q	6:2:2	320/5067	2	11795852869117260356
baseline	0	sample_q	6:2:3	512/5067	2	11795852869117260356
baseline	0	sample_q	6:2:4	625/10134	2	11795852869117260356
baseline	0	sample_p	6:3:0	-625/5067	2	11795852869117260357
baseline	0	sample_p	6:3:1	-1000/5067	2	11795852869117260357
baseline	0	sample_p	6:3:2	-1600/5067	2	11795852869117260357
baseline	0	sample_p	6:3:3	-2560/5067	2	11795852869117260357
baseline	0	sample_q	6:3:0	-625/10134	2	11795852869117260357
baseline	0	sample_q	6:3:1	125/5067	2	11795852869117260357
baseline	0	sample_q	6:3:2	200/5067	2	11795852869117260357
baseline	0	sample_q	6:3:3	320/5067	2	11795852869117260357
baseline	0	sample_q	6:3:4	512/5067	2	11795852869117260357
baseline	0	sample_p	7:0:0	-12960/59083	3	11795852869117260355
baseline	0	sample_p	7:0:1	-3125/118166	3	11795852869117260355
baseline	0	sample_p	7:0:2	-3750/59083	3	11795852869117260355
baseline	0	sample_p	7:0:3	-9000/59083	3	11795852869117260355
baseline	0	sample_q	7:0:0	-4320/59083	3	11795852869117260355
baseline	0	sample_q	7:0:1	2592/59083	3	11795852869117260355
baseline	0	sample_q	7:0:2	625/118166	3	11795852869117260355
baseline	0	sample_q	7:0:3	750/59083	3	11795852869117260355
baseline	0	sample_q	7:0:4	1800/59083	3	11795852869117260355
baseline	0	sample_p	7:1:0	-5400/59083	3	11795852869117260356
baseline	0	sample_p	7:1:1	-12960/59083	3	11795852869117260356
baseline	0	sample_p	7:1:2	-3125/118166	3	11795852869117260356
baseline	0	sample_p	7:1:3	-3750/59083	3	11795852869117260356
baseline	0	sample_q	7:1:0	-1800/59083	3	11795852869117260356
baseline	0	sample_q	7:1:1	1080/59083	3	11795852869117260356
baseline	0	sample_q	7:1:2	2592/59083	3	11795852869117260356
baseline	0	sample_q	7:1:3	625/118166	3	11795852869117260356
baseline	0	sample_q	7:1:4	750/59083	3	11795852869117260356
baseline	0	sample_p	7:2:0	-2250/59083	3	11795852869117260357
baseline	0	sample_p	7:2:1	-5400/59083	3	11795852869117260357
baseline	0	sample_p	7:2:2	-12960/59083	3	11795852869117260357
baseline	0	sample_p	7:2:3	-3125/118166	3	11795852869117260357
baseline	0	sample_q	7:2:0	-750/59083	3	11795852869117260357
baseline	0	sample_q	7:2:1	450/59083	3	11795852869117260357
baseline	0	sample_q	7:2:2	1080/59083	3	11795852869117260357
baseline	0	sample_q	7:2:3	2592/59083	3	11795852869117260357
baseline	0	sample_q	7:2:4	625/118166	3	11795852869117260357
baseline	0	sample_p	7:3:0	-1875/118166	3	11795852869117260358
baseline	0	sample_p	7:3:1	-2250/59083	3	11795852869117260358
baseline	0	sample_p	7:3:2	-5400/59083	3	11795852869117260358
baseline	0	sample_p	7:3:3	-12960/59083	3	11795852869117260358
baseline	0	sample_q	7:3:0	-625/118166	3	11795852869117260358
baseline	0	sample_q	7:3:1	375/118166	3	11795852869117260358
baseline	0	sample_q	7:3:2	450/59083	3	11795852869117260358
baseline	0	sample_q	7:3:3	1080/59083	3	11795852869117260358
baseline	0	sample_q	7:3:4	2592/59083	3	11795852869117260358
baseline	0	sample_p	8:0:0	-40960/259019	4	11795852869117260356
baseline	0	sample_p	8:0:1	-3125/518038	4	11795852869117260356
baseline	0	sample_p	8:0:2	-5000/259019	4	11795852869117260356
baseline	0	sample_p	8:0:3	-16000/259019	4	11795852869117260356
baseline	0	sample_q	8:0:0	-10240/259019	4	11795852869117260356
baseline	0	sample_q	8:0:1	8192/259019	4	11795852869117260356
baseline	0	sample_q	8:0:2	625/518038	4	11795852869117260356
baseline	0	sample_q	8:0:3	1000/259019	4	11795852869117260356
baseline	0	sample_q	8:0:4	3200/259019	4	11795852869117260356
baseline	0	sample_p	8:1:0	-12800/259019	4	11795852869117260357
baseline	0	sample_p	8:1:1	-40960/259019	4	11795852869117260357
baseline	0	sample_p	8:1:2	-3125/518038	4	11795852869117260357
baseline	0	sample_p	8:1:3	-5000/259019	4	11795852869117260357
baseline	0	sample_q	8:1:0	-3200/259019	4	11795852869117260357
baseline	0	sample_q	8:1:1	2560/259019	4	11795852869117260357
baseline	0	sample_q	8:1:2	8192/259019	4	11795852869117260357
baseline	0	sample_q	8:1:3	625/518038	4	11795852869117260357
baseline	0	sample_q	8:1:4	1000/259019	4	11795852869117260357
baseline	0	sample_p	8:2:0	-4000/259019	4	11795852869117260358
baseline	0	sample_p	8:2:1	-12800/259019	4	11795852869117260358
baseline	0	sample_p	8:2:2	-40960/259019	4	11795852869117260358
baseline	0	sample_p	8:2:3	-3125/518038	4	11795852869117260358
baseline	0	sample_q	8:2:0	-1000/259019	4	11795852869117260358
baseline	0	sample_q	8:2:1	800/259019	4	11795852869117260358
baseline	0	sample_q	8:2:2	2560/259019	4	11795852869117260358
baseline	0	sample_q	8:2:3	8192/259019	4	11795852869117260358
baseline	0	sample_q	8:2:4	625/518038	4	11795852869117260358
baseline	0	sample_p	8:3:0	-1250/259019	4	11795852869117260359
baseline	0	sample_p	8:3:1	-4000/259019	4	11795852869117260359
baseline	0	sample_p	8:3:2	-12800/259019	4	11795852869117260359
baseline	0	sample_p	8:3:3	-40960/259019	4	11795852869117260359
baseline	0	sample_q	8:3:0	-625/518038	4	11795852869117260359
baseline	0	sample_q	8:3:1	250/259019	4	11795852869117260359
baseline	0	sample_q	8:3:2	800/259019	4	11795852869117260359
baseline	0	sample_q	8:3:3	2560/259019	4	11795852869117260359
baseline	0	sample_q	8:3:4	8192/259019	4	11795852869117260359
baseline	0	sample_p	9:0:0	-32/255	5	11795852869117260412
baseline	0	sample_p	9:0:1	-1/510	5	11795852869117260412
baseline	0	sample_p	9:0:2	-2/255	5	11795852869117260412
baseline	0	sample_p	9:0:3	-8/255	5	11795852869117260412
baseline	0	sample_q	9:0:0	-32/1275	5	11795852869117260412
baseline	0	sample_q	9:0:1	32/1275	5	11795852869117260412
baseline	0	sample_q	9:0:2	1/2550	5	11795852869117260412
baseline	0	sample_q	9:0:3	2/1275	5	11795852869117260412
baseline	0	sample_q	9:0:4	8/1275	5	11795852869117260412
baseline	0	sample_p	9:1:0	-8/255	5	11795852869117260412
baseline	0	sample_p	9:1:1	-32/255	5	11795852869117260412
baseline	0	sample_p	9:1:2	-1/510	5	11795852869117260412
baseline	0	sample_p	9:1:3	-2/255	5	11795852869117260412
baseline	0	sample_q	9:1:0	-8/1275	5	11795852869117260412
baseline	0	sample_q	9:1:1	8/1275	5	11795852869117260412
baseline	0	sample_q	9:1:2	32/1275	5	11795852869117260412
baseline	0	sample_q	9:1:3	1/2550	5	11795852869117260412
baseline	0	sample_q	9:1:4	2/1275	5	11795852869117260412
baseline	0	sample_p	9:2:0	-2/255	5	11795852869117260412
baseline	0	sample_p	9:2:1	-8/255	5	11795852869117260412
baseline	0	sample_p	9:2:2	-32/255	5	11795852869117260412
baseline	0	sample_p	9:2:3	-1/510	5	11795852869117260412
baseline	0	sample_q	9:2:0	-2/1275	5	11795852869117260412
baseline	0	sample_q	9:2:1	2/1275	5	11795852869117260412
baseline	0	sample_q	9:2:2	8/1275	5	11795852869117260412
baseline	0	sample_q	9:2:3	32/1275	5	11795852869117260412
baseline	0	sample_q	9:2:4	1/2550	5	11795852869117260412
baseline	0	sample_p	9:3:0	-1/510	5	11795852869117260412
baseline	0	sample_p	9:3:1	-2/255	5	11795852869117260412
baseline	0	sample_p	9:3:2	-8/255	5	11795852869117260412
baseline	0	sample_p	9:3:3	-32/255	5	11795852869117260412
baseline	0	sample_q	9:3:0	-1/2550	5	11795852869117260412
baseline	0	sample_q	9:3:1	1/2550	5	11795852869117260412
baseline	0	sample_q	9:3:2	2/1275	5	11795852869117260412
baseline	0	sample_q	9:3:3	8/1275	5	11795852869117260412
baseline	0	sample_q	9:3:4	32/1275	5	11795852869117260412
baseline	0	sample_p	10:0:0	-207360/1987531	6	11795852869117260413
baseline	0	sample_p	10:0:1	-3125/3975062	6	11795852869117260413
baseline	0	sample_p	10:0:2	-7500/1987531	6	11795852869117260413
baseline	0	sample_p	10:0:3	-36000/1987531	6	11795852869117260413
baseline	0	sample_q	10:0:0	-34560/1987531	6	11795852869117260413
baseline	0	sample_q	10:0:1	41472/1987531	6	11795852869117260413
baseline	0	sample_q	10:0:2	625/3975062	6	11795852869117260413
baseline	0	sample_q	10:0:3	1500/1987531	6	11795852869117260413
baseline	0	sample_q	10:0:4	7200/1987531	6	11795852869117260413
baseline	0	sample_p	10:1:0	-43200/1987531	6	11795852869117260413
baseline	0	sample_p	10:1:1	-207360/1987531	6	11795852869117260413
baseline	0	sample_p	10:1:2	-3125/3975062	6	11795852869117260413
baseline	0	sample_p	10:1:3	-7500/1987531	6	11795852869117260413
baseline	0	sample_q	10:1:0	-7200/1987531	6	11795852869117260413
baseline	0	sample_q	10:1:1	8640/1987531	6	11795852869117260413
baseline	0	sample_q	10:1:2	41472/1987531	6	11795852869117260413
baseline	0	sample_q	10:1:3	625/3975062	6	11795852869117260413
