path	lines	object_or_application	live_inbound_sources	superseding_owner	disposition	target	verification
archive/README.md	32	frozen_archive	1	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/CMakeLists.txt	359	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/CONSTRUCTION_STATE.md	631	frozen_archive	1	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/SHA256SUMS	1079	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/ConditionedProduction.cmake	32	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/ConstraintRebase.cmake	10	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/ExpectAuditFailure.cmake	25	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/ExpectCompileFailure.cmake	23	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/GrownCircuit.cmake	13	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/HolonicArchitecture.cmake	38	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/HolonicAudit.cmake	201	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/HolonicContractTests.cmake	38	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/HolonicDeposit.cmake	127	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/HolonicFingerprint.cmake	27	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/HolonicReach.cmake	109	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/HolonicRegistry.cmake	94	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/HolonicStanding.cmake	286	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/MovementAEnclosure.cmake	79	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/OneStanding.cmake	11	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/PhaseResidentMount.cmake	67	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/PhaseSpine.cmake	85	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/PhaseTextMount.cmake	66	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/R11MathematicalOccurrenceEcology.cmake	81	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/R18PhaseCrystalHypergeometry.cmake	110	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/R19CharacteristicReturn.cmake	94	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/R1Exact.cmake	81	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/R20RegularSingularContinuation.cmake	94	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
archive/cpp-engine/cmake/R21BlindCharacteristicReconstruction.cmake	105	frozen_archive	0	unresolved	unresolved_law_and_citation_audit	git_revision_or_live_owner	static_inbound_link_scan_at_d17910d3
